,fechas,pred
46213,2011-09-03 14:05:00,0.5515
46364,2011-09-04 02:40:00,0.4472
46511,2011-09-04 14:55:00,0.5892
46663,2011-09-05 03:35:00,0.3451
46810,2011-09-05 15:50:00,0.6096
46963,2011-09-06 04:35:00,0.2461
47109,2011-09-06 16:45:00,0.6163
47264,2011-09-07 05:40:00,0.1634
47408,2011-09-07 17:40:00,0.6151
47566,2011-09-08 06:50:00,0.1087
47709,2011-09-08 18:45:00,0.6117
47869,2011-09-09 08:05:00,0.0876
48009,2011-09-09 19:45:00,0.6085
48171,2011-09-10 09:15:00,0.0938
48309,2011-09-10 20:45:00,0.6034
48469,2011-09-11 10:05:00,0.1152
48608,2011-09-11 21:40:00,0.5908
48765,2011-09-12 10:45:00,0.1443
48907,2011-09-12 22:35:00,0.5648
49059,2011-09-13 11:15:00,0.1802
49204,2011-09-13 23:20:00,0.5224
49353,2011-09-14 11:45:00,0.2243
49500,2011-09-15 00:00:00,0.4637
49647,2011-09-15 12:15:00,0.2769
49796,2011-09-16 00:40:00,0.3923
49941,2011-09-16 12:45:00,0.3356
50092,2011-09-17 01:20:00,0.3133
50236,2011-09-17 13:20:00,0.3963
50388,2011-09-18 02:00:00,0.2326
50531,2011-09-18 13:55:00,0.4532
50684,2011-09-19 02:40:00,0.1563
50827,2011-09-19 14:35:00,0.5009
50980,2011-09-20 03:20:00,0.0899
51124,2011-09-20 15:20:00,0.536
51278,2011-09-21 04:10:00,0.0395
51423,2011-09-21 16:15:00,0.5584
51577,2011-09-22 05:05:00,0.0115
51722,2011-09-22 17:10:00,0.5716
51877,2011-09-23 06:05:00,0.0126
52022,2011-09-23 18:10:00,0.5811
52177,2011-09-24 07:05:00,0.0465
52322,2011-09-24 19:10:00,0.591
52476,2011-09-25 08:00:00,0.111
52623,2011-09-25 20:15:00,0.6014
52775,2011-09-26 08:55:00,0.1984
52922,2011-09-26 21:10:00,0.6075
53073,2011-09-27 09:45:00,0.2986
53221,2011-09-27 22:05:00,0.6028
53371,2011-09-28 10:35:00,0.4012
53520,2011-09-28 23:00:00,0.5817
53668,2011-09-29 11:20:00,0.4968
53819,2011-09-29 23:55:00,0.5411
53965,2011-09-30 12:05:00,0.5772
54117,2011-10-01 00:45:00,0.4814
54263,2011-10-01 12:55:00,0.6365
54415,2011-10-02 01:35:00,0.4058
54560,2011-10-02 13:40:00,0.6716
54714,2011-10-03 02:30:00,0.3214
54858,2011-10-03 14:30:00,0.6821
55013,2011-10-04 03:25:00,0.2372
55156,2011-10-04 15:20:00,0.6705
55313,2011-10-05 04:25:00,0.1641
55455,2011-10-05 16:15:00,0.6426
55615,2011-10-06 05:35:00,0.1133
55755,2011-10-06 17:15:00,0.6056
55917,2011-10-07 06:45:00,0.0924
56055,2011-10-07 18:15:00,0.5666
56219,2011-10-08 07:55:00,0.1005
56356,2011-10-08 19:20:00,0.5302
56517,2011-10-09 08:45:00,0.1283
56656,2011-10-09 20:20:00,0.4956
56814,2011-10-10 09:30:00,0.1674
56955,2011-10-10 21:15:00,0.4584
57108,2011-10-11 10:00:00,0.2155
57254,2011-10-11 22:10:00,0.4142
57402,2011-10-12 10:30:00,0.2728
57551,2011-10-12 22:55:00,0.3612
57696,2011-10-13 11:00:00,0.3383
57847,2011-10-13 23:35:00,0.3008
57990,2011-10-14 11:30:00,0.4087
58143,2011-10-15 00:15:00,0.237
58285,2011-10-15 12:05:00,0.4785
58439,2011-10-16 00:55:00,0.1748
58580,2011-10-16 12:40:00,0.541
58734,2011-10-17 01:30:00,0.1191
58876,2011-10-17 13:20:00,0.5899
59031,2011-10-18 02:15:00,0.074
59173,2011-10-18 14:05:00,0.6205
59328,2011-10-19 03:00:00,0.0435
59470,2011-10-19 14:50:00,0.6309
59626,2011-10-20 03:50:00,0.0318
59769,2011-10-20 15:45:00,0.6234
59924,2011-10-21 04:40:00,0.0434
60068,2011-10-21 16:40:00,0.6032
60224,2011-10-22 05:40:00,0.0821
60369,2011-10-22 17:45:00,0.5777
60524,2011-10-23 06:40:00,0.1481
60669,2011-10-23 18:45:00,0.5526
60823,2011-10-24 07:35:00,0.237
60970,2011-10-24 19:50:00,0.5298
61122,2011-10-25 08:30:00,0.3404
61270,2011-10-25 20:50:00,0.5066
61420,2011-10-26 09:20:00,0.4482
61570,2011-10-26 21:50:00,0.4784
61717,2011-10-27 10:05:00,0.5504
61869,2011-10-27 22:45:00,0.4414
62015,2011-10-28 10:55:00,0.6384
62167,2011-10-28 23:35:00,0.3936
62312,2011-10-29 11:40:00,0.7047
62466,2011-10-30 00:30:00,0.3364
62610,2011-10-30 12:30:00,0.7449
62765,2011-10-31 01:25:00,0.2734
62907,2011-10-31 13:15:00,0.7568
63064,2011-11-01 02:20:00,0.2106
63205,2011-11-01 14:05:00,0.7415
63363,2011-11-02 03:15:00,0.1555
63503,2011-11-02 14:55:00,0.7022
63663,2011-11-03 04:15:00,0.116
63802,2011-11-03 15:50:00,0.6451
63964,2011-11-04 05:20:00,0.0983
64102,2011-11-04 16:50:00,0.5772
64265,2011-11-05 06:25:00,0.1046
64401,2011-11-05 17:45:00,0.506
64564,2011-11-06 07:20:00,0.1319
64702,2011-11-06 18:50:00,0.4371
64861,2011-11-07 08:05:00,0.1747
65002,2011-11-07 19:50:00,0.3727
65156,2011-11-08 08:40:00,0.2301
65301,2011-11-08 20:45:00,0.312
65451,2011-11-09 09:15:00,0.2967
65599,2011-11-09 21:35:00,0.2533
65745,2011-11-10 09:45:00,0.3722
65897,2011-11-10 22:25:00,0.1966
66040,2011-11-11 10:20:00,0.4527
66193,2011-11-11 23:05:00,0.1436
66335,2011-11-12 10:55:00,0.5319
66489,2011-11-12 23:45:00,0.0978
66630,2011-11-13 11:30:00,0.6029
66785,2011-11-14 00:25:00,0.0626
66926,2011-11-14 12:10:00,0.6589
67081,2011-11-15 01:05:00,0.0406
67223,2011-11-15 12:55:00,0.6944
67378,2011-11-16 01:50:00,0.0337
67520,2011-11-16 13:40:00,0.7061
67675,2011-11-17 02:35:00,0.0433
67818,2011-11-17 14:30:00,0.694
67973,2011-11-18 03:25:00,0.0711
68116,2011-11-18 15:20:00,0.6606
68272,2011-11-19 04:20:00,0.1183
68416,2011-11-19 16:20:00,0.6121
68571,2011-11-20 05:15:00,0.1851
68716,2011-11-20 17:20:00,0.5554
68870,2011-11-21 06:10:00,0.2698
69016,2011-11-21 18:20:00,0.4975
69169,2011-11-22 07:05:00,0.3676
69317,2011-11-22 19:25:00,0.443
69468,2011-11-23 08:00:00,0.4716
69617,2011-11-23 20:25:00,0.393
69766,2011-11-24 08:50:00,0.5729
69918,2011-11-24 21:30:00,0.3466
70065,2011-11-25 09:45:00,0.6635
70217,2011-11-25 22:25:00,0.3018
70362,2011-11-26 10:30:00,0.7358
70517,2011-11-26 23:25:00,0.2577
70660,2011-11-27 11:20:00,0.7841
70816,2011-11-28 00:20:00,0.2144
70958,2011-11-28 12:10:00,0.8047
71115,2011-11-29 01:15:00,0.1742
71255,2011-11-29 12:55:00,0.7963
71414,2011-11-30 02:10:00,0.1403
71553,2011-11-30 13:45:00,0.7604
71713,2011-12-01 03:05:00,0.1164
71851,2011-12-01 14:35:00,0.7002
72012,2011-12-02 04:00:00,0.1061
72149,2011-12-02 15:25:00,0.6209
72310,2011-12-03 04:50:00,0.1118
72448,2011-12-03 16:20:00,0.5294
72608,2011-12-04 05:40:00,0.1344
72747,2011-12-04 17:15:00,0.4327
72905,2011-12-05 06:25:00,0.1736
73046,2011-12-05 18:10:00,0.3376
73202,2011-12-06 07:10:00,0.2281
73346,2011-12-06 19:10:00,0.2499
73497,2011-12-07 07:45:00,0.296
73645,2011-12-07 20:05:00,0.173
73793,2011-12-08 08:25:00,0.3745
73944,2011-12-08 21:00:00,0.109
74088,2011-12-09 09:00:00,0.4589
74241,2011-12-09 21:45:00,0.0588
74384,2011-12-10 09:40:00,0.5434
74538,2011-12-10 22:30:00,0.024
74680,2011-12-11 10:20:00,0.6211
74835,2011-12-11 23:15:00,0.0058
74977,2011-12-12 11:05:00,0.6855
75131,2011-12-12 23:55:00,0.0048
75274,2011-12-13 11:50:00,0.7306
75428,2011-12-14 00:40:00,0.021
75571,2011-12-14 12:35:00,0.7521
75725,2011-12-15 01:25:00,0.0531
75868,2011-12-15 13:20:00,0.7476
76023,2011-12-16 02:15:00,0.0994
76166,2011-12-16 14:10:00,0.7173
76321,2011-12-17 03:05:00,0.1583
76465,2011-12-17 15:05:00,0.664
76619,2011-12-18 03:55:00,0.228
76764,2011-12-18 16:00:00,0.5929
76917,2011-12-19 04:45:00,0.3066
77064,2011-12-19 17:00:00,0.5112
77216,2011-12-20 05:40:00,0.3921
77364,2011-12-20 18:00:00,0.4275
77516,2011-12-21 06:40:00,0.4815
77664,2011-12-21 19:00:00,0.3493
77815,2011-12-22 07:35:00,0.5702
77965,2011-12-22 20:05:00,0.2827
78113,2011-12-23 08:25:00,0.6529
78266,2011-12-23 21:10:00,0.2301
78412,2011-12-24 09:20:00,0.7237
78567,2011-12-24 22:15:00,0.1907
