,fechas,pred
58969,2011-10-17 21:05:00,-0.4515
59083,2011-10-18 06:35:00,-0.1856
59267,2011-10-18 21:55:00,-0.4438
59378,2011-10-19 07:10:00,-0.2027
59566,2011-10-19 22:50:00,-0.4355
59675,2011-10-20 07:55:00,-0.2055
59864,2011-10-20 23:40:00,-0.4303
59976,2011-10-21 09:00:00,-0.1962
60163,2011-10-22 00:35:00,-0.43
60284,2011-10-22 10:40:00,-0.1911
60461,2011-10-23 01:25:00,-0.4336
60595,2011-10-23 12:35:00,-0.2237
60759,2011-10-24 02:15:00,-0.4384
60900,2011-10-24 14:00:00,-0.2954
61056,2011-10-25 03:00:00,-0.441
61201,2011-10-25 15:05:00,-0.3852
61353,2011-10-26 03:45:00,-0.4384
61501,2011-10-26 16:05:00,-0.477
61650,2011-10-27 04:30:00,-0.428
61801,2011-10-27 17:05:00,-0.5592
61946,2011-10-28 05:10:00,-0.4084
62100,2011-10-28 18:00:00,-0.6232
62242,2011-10-29 05:50:00,-0.379
62399,2011-10-29 18:55:00,-0.6649
62539,2011-10-30 06:35:00,-0.3407
62698,2011-10-30 19:50:00,-0.6833
62835,2011-10-31 07:15:00,-0.2952
62997,2011-10-31 20:45:00,-0.6806
63133,2011-11-01 08:05:00,-0.2461
63297,2011-11-01 21:45:00,-0.6614
63431,2011-11-02 08:55:00,-0.1977
63597,2011-11-02 22:45:00,-0.6312
63731,2011-11-03 09:55:00,-0.1573
63897,2011-11-03 23:45:00,-0.5944
64033,2011-11-04 11:05:00,-0.1346
64196,2011-11-05 00:40:00,-0.5527
64335,2011-11-05 12:15:00,-0.1382
64495,2011-11-06 01:35:00,-0.5058
64637,2011-11-06 13:25:00,-0.169
64793,2011-11-07 02:25:00,-0.4521
64938,2011-11-07 14:30:00,-0.2198
65091,2011-11-08 03:15:00,-0.3913
65237,2011-11-08 15:25:00,-0.2802
65387,2011-11-09 03:55:00,-0.3259
65536,2011-11-09 16:20:00,-0.3413
65681,2011-11-10 04:25:00,-0.2613
65834,2011-11-10 17:10:00,-0.3962
65975,2011-11-11 04:55:00,-0.2052
66131,2011-11-11 17:55:00,-0.441
66266,2011-11-12 05:10:00,-0.1667
66427,2011-11-12 18:35:00,-0.4738
66554,2011-11-13 05:10:00,-0.1546
66724,2011-11-13 19:20:00,-0.4947
66841,2011-11-14 05:05:00,-0.1715
67021,2011-11-14 20:05:00,-0.5045
67133,2011-11-15 05:25:00,-0.1991
67317,2011-11-15 20:45:00,-0.5052
67429,2011-11-16 06:05:00,-0.2197
67614,2011-11-16 21:30:00,-0.4989
67727,2011-11-17 06:55:00,-0.2269
67912,2011-11-17 22:20:00,-0.4881
68028,2011-11-18 08:00:00,-0.2221
68209,2011-11-18 23:05:00,-0.4751
68332,2011-11-19 09:20:00,-0.215
68507,2011-11-19 23:55:00,-0.4616
68640,2011-11-20 11:00:00,-0.2276
68805,2011-11-21 00:45:00,-0.4485
68947,2011-11-21 12:35:00,-0.2751
69102,2011-11-22 01:30:00,-0.4356
69250,2011-11-22 13:50:00,-0.3499
69400,2011-11-23 02:20:00,-0.4219
69552,2011-11-23 15:00:00,-0.4379
69697,2011-11-24 03:05:00,-0.4057
69852,2011-11-24 16:00:00,-0.5261
69994,2011-11-25 03:50:00,-0.3859
70151,2011-11-25 16:55:00,-0.6037
70291,2011-11-26 04:35:00,-0.3612
70451,2011-11-26 17:55:00,-0.6637
70588,2011-11-27 05:20:00,-0.3316
70750,2011-11-27 18:50:00,-0.7012
70885,2011-11-28 06:05:00,-0.2972
71049,2011-11-28 19:45:00,-0.7148
71183,2011-11-29 06:55:00,-0.2597
71347,2011-11-29 20:35:00,-0.7053
71481,2011-11-30 07:45:00,-0.2212
71646,2011-11-30 21:30:00,-0.6753
71780,2011-12-01 08:40:00,-0.1854
71945,2011-12-01 22:25:00,-0.6286
72080,2011-12-02 09:40:00,-0.1577
72244,2011-12-02 23:20:00,-0.5694
72381,2011-12-03 10:45:00,-0.145
72542,2011-12-04 00:10:00,-0.5018
72683,2011-12-04 11:55:00,-0.1533
